City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,greensburg,40.3015,-79.5389,44.26,67,78,3.0,US,1673890560
140,fez,34.0372,-4.9998,55.65,71,75,11.5,MA,1673890561
141,tuatapere,-46.1333,167.6833,56.43,87,79,3.98,NZ,1673890561
142,benghazi,32.1167,20.0667,62.55,65,3,12.08,LY,1673890562
143,khanu woralaksaburi,16.0617,99.8606,73.38,44,3,1.1,TH,1673890562
144,yenagoa,4.9247,6.2642,84.22,55,73,9.8,NG,1673890563
145,alenquer,-1.9417,-54.7383,86.7,54,59,3.33,BR,1673890564
146,kieta,-6.2167,155.6333,79.45,84,93,1.34,PG,1673890564
147,cabo san lucas,22.8909,-109.9124,78.51,36,0,3.44,MX,1673890284
148,berlevag,70.8578,29.0864,33.8,75,75,21.85,NO,1673890565
149,atar,20.5169,-13.0499,81.7,10,61,10.85,MR,1673890566
150,saint-nazaire,47.2833,-2.2,44.58,78,0,6.91,FR,1673890566
151,tiksi,71.6872,128.8694,-23.19,100,100,7.74,RU,1673890540
152,cape town,-33.9258,18.4232,77.38,71,0,16.11,ZA,1673890287
153,gazanjyk,39.2446,55.5154,26.74,55,36,13.2,TM,1673890568
154,znamensk,48.5842,45.7338,24.22,72,100,10.6,RU,1673890568
155,grenfell,-33.9,148.1667,68.45,67,40,6.26,AU,1673890569
156,yakeshi,49.2833,120.7333,-5.22,98,100,9.62,CN,1673890570
157,ruston,32.5232,-92.6379,67.82,77,20,17.27,US,1673890318
158,skjervoy,70.0311,20.9714,26.6,65,75,6.89,NO,1673890571
159,cockburn town,21.4612,-71.1419,74.21,54,57,6.85,TC,1673890571
160,sao filipe,14.8961,-24.4956,77.58,60,100,6.04,CV,1673890572
161,konosha,60.9736,40.257,21.43,93,100,12.8,RU,1673890572
162,sitka,57.0531,-135.33,40.89,87,100,4.61,US,1673890573
163,deputatskiy,69.3,139.9,-29.25,100,65,1.7,RU,1673890574
164,mount isa,-20.7333,139.5,76.77,78,90,4.61,AU,1673890574
165,jam sahib,26.2958,68.6292,55.18,15,0,6.13,PK,1673890575
166,panguipulli,-39.6333,-72.3333,77.79,22,99,3.89,CL,1673890575
167,provideniya,64.3833,-173.3,-1.79,82,100,17.65,RU,1673890576
168,tamandare,-8.7597,-35.1047,82.02,65,100,8.46,BR,1673890576
169,karratha,-20.7377,116.8463,81.52,75,18,9.1,AU,1673890577
170,khorinsk,52.1657,109.7726,-5.71,87,63,8.61,RU,1673890578
171,monrovia,6.3005,-10.7969,81.77,74,40,11.23,LR,1673890567
172,thompson,55.7435,-97.8558,6.96,85,100,4.61,CA,1673890579
173,laguna,38.421,-121.4238,50.29,86,100,10.36,US,1673890579
174,port lincoln,-34.7333,135.8667,71.62,67,73,9.8,AU,1673890580
175,guerrero negro,27.9769,-114.0611,67.71,66,54,10.8,MX,1673890529
176,abu samrah,35.3029,37.1841,50.41,81,93,9.37,SY,1673890581
177,saint-francois,46.4154,3.9054,40.44,80,100,5.75,FR,1673890582
178,alice springs,-23.7,133.8833,74.75,73,7,0.0,AU,1673890289
179,sindor,62.8629,51.8905,15.78,90,100,12.06,RU,1673890583
180,urmary,55.6789,47.944,9.84,90,9,12.97,RU,1673890584
181,rio grande,-32.035,-52.0986,91.51,59,0,11.83,BR,1673890584
182,beyneu,45.3167,55.2,29.21,66,100,14.18,KZ,1673890585
183,saint anthony,45.0205,-93.218,36.25,94,100,8.05,US,1673890585
184,tura,25.5198,90.2201,53.1,50,0,2.3,IN,1673890586
185,onega,63.9061,38.1404,27.86,89,100,13.82,RU,1673890587
186,svetlogorsk,52.6333,29.7333,33.21,98,100,9.8,BY,1673890587
187,kirakira,-10.4544,161.9205,79.54,83,99,4.45,SB,1673890523
188,dali,25.7,100.1833,39.22,69,0,4.97,CN,1673890588
189,palanga,55.9175,21.0686,35.62,93,0,9.22,LT,1673890589
190,ilulissat,69.2167,-51.1,-0.38,55,75,14.97,GL,1673890589
191,ayan,56.45,138.1667,-30.62,75,97,9.44,RU,1673890590
192,tabou,4.423,-7.3528,82.6,70,84,9.91,CI,1673890591
193,port macquarie,-31.4333,152.9167,66.88,85,44,2.04,AU,1673890591
194,inongo,-1.95,18.2667,73.92,88,83,8.08,CD,1673890592
195,dangtu,31.5723,118.4928,30.25,53,99,2.1,CN,1673890593
196,kirkland lake,48.1446,-80.0377,26.89,80,98,5.75,CA,1673890593
197,qaqortoq,60.7167,-46.0333,-5.84,73,2,9.93,GL,1673890594
198,kutum,14.2,24.6667,64.87,20,28,10.69,SD,1673890454
199,saint-philippe,-21.3585,55.7679,80.19,77,91,11.23,RE,1673890595
200,chaman,30.9236,66.4512,35.76,39,0,2.04,PK,1673890595
201,airai,-8.9266,125.4092,61.41,90,100,1.97,TL,1673890531
202,zhigansk,66.7697,123.3711,-51.05,99,95,3.8,RU,1673890596
203,mamallapuram,12.6264,80.1722,73.45,68,0,7.47,IN,1673890596
204,mayo,38.8876,-76.5119,54.01,29,0,8.05,US,1673890597
205,nuuk,64.1835,-51.7216,7.41,66,75,16.11,GL,1673890597
206,korgen,66.0771,13.8153,26.73,96,100,5.61,NO,1673890598
207,visnes,59.3556,5.2242,35.22,93,75,5.75,NO,1673890598
208,port elizabeth,-33.918,25.5701,77.09,93,100,14.97,ZA,1673890599
209,cayenne,4.9333,-52.3333,78.84,83,100,1.14,GF,1673890599
210,pionerskiy,54.9508,20.2275,35.44,85,97,14.83,RU,1673890600
211,ponta do sol,32.6667,-17.1,66.13,65,46,7.65,PT,1673890600
212,sorland,67.667,12.6934,38.73,70,93,5.53,NO,1673890601
213,bichura,50.5881,107.6022,-3.64,95,100,4.79,RU,1673890601
214,luderitz,-26.6481,15.1594,67.73,81,95,13.96,NA,1673890602
215,antofagasta,-23.65,-70.4,72.68,62,6,9.73,CL,1673890602
216,tocopilla,-22.092,-70.1979,72.99,64,2,7.2,CL,1673890603
217,ternate,0.8,127.4,80.26,81,71,4.0,ID,1673890603
218,chicama,-7.8447,-79.1469,72.14,50,81,11.12,PE,1673890604
219,constitucion,-35.3333,-72.4167,67.21,59,71,7.78,CL,1673890402
220,gangarampur,25.4,88.5167,55.51,48,0,7.36,IN,1673890605
221,souillac,-20.5167,57.5167,79.18,73,75,14.97,MU,1673890605
222,sangar,63.9242,127.4739,-43.55,94,100,1.1,RU,1673890606
223,isangel,-19.55,169.2667,76.15,77,99,9.73,VU,1673890606
224,peachland,49.7665,-119.7357,43.66,92,100,2.64,CA,1673890607
225,katsuura,35.1333,140.3,43.9,66,94,11.32,JP,1673890607
226,ostrovnoy,68.0531,39.5131,31.86,87,100,20.07,RU,1673890608
227,baikunthpur,23.25,82.55,50.63,36,0,4.07,IN,1673890608
228,skelleftea,64.7507,20.9528,21.56,100,0,11.5,SE,1673890609
229,luganville,-15.5333,167.1667,76.96,89,62,4.47,VU,1673890609
230,ponta delgada,37.7333,-25.6667,57.92,67,20,16.11,PT,1673890610
231,north bend,43.4065,-124.2243,41.07,100,0,6.91,US,1673890610
232,rantepao,-2.9701,119.8978,67.23,96,100,2.06,ID,1673890611
233,iqaluit,63.7506,-68.5145,-22.27,69,20,3.44,CA,1673890611
234,salalah,17.0151,54.0924,75.29,73,75,3.44,OM,1673890612
235,toktogul,41.8708,72.9402,10.13,56,1,2.64,KG,1673890612
236,narsaq,60.9167,-46.05,7.02,70,1,10.69,GL,1673890613
237,saint-pierre,-21.3393,55.4781,80.28,65,0,20.71,RE,1673890613
238,maniitsoq,65.4167,-52.9,3.65,77,100,11.56,GL,1673890613
239,plastun,44.7561,136.2939,-1.59,81,70,6.53,RU,1673890614
